Time (mSec),Stimulus (Code),Right (OD),Left (OS)
0,None,335,333
4,None,335,329
7,None,335,330
11,None,335,334
14,None,340,333
18,None,341,329
21,None,341,330
25,None,341,331
29,None,341,330
32,None,341,330
36,None,340,331
39,None,341,330
43,None,340,330
46,None,341,330
50,None,340,330
54,None,340,330
57,None,340,334
61,None,341,333
64,None,340,330
68,None,340,330
71,None,340,334
75,None,340,329
79,None,340,328
82,None,340,328
86,None,339,328
89,None,340,328
93,None,340,330
96,None,340,332
100,None,340,329
104,None,340,328
107,None,340,328
111,None,340,328
114,None,339,329
118,None,340,328
121,None,334,328
125,None,339,328
129,None,339,332
132,None,339,329
136,None,340,329
139,None,340,329
143,None,340,329
146,None,340,331
150,None,340,329
154,None,340,329
157,None,340,329
161,None,340,328
164,None,334,330
168,None,339,328
171,None,340,329
175,None,340,328
179,None,339,329
182,None,340,329
186,None,334,328
189,None,340,329
193,None,334,328
196,None,340,328
200,None,340,328
204,None,339,328
207,None,340,328
211,None,340,328
214,None,340,334
218,None,340,329
221,None,340,334
225,None,340,329
229,None,340,328
232,None,340,328
236,None,340,329
239,None,340,332
243,None,340,329
246,None,340,329
250,None,340,328
254,None,340,329
257,None,340,328
261,None,334,329
264,None,340,328
268,None,340,328
271,None,341,328
275,None,340,329
279,None,340,328
282,None,340,330
286,None,340,328
289,None,340,328
293,None,340,329
296,None,340,331
300,None,341,328
304,None,340,329
307,None,340,330
311,None,340,328
314,None,340,330
318,None,340,328
321,None,340,334
325,None,341,328
329,None,340,333
332,None,341,328
336,None,341,334
339,None,340,330
343,None,335,331
346,None,340,328
350,None,335,330
354,None,340,334
357,None,342,334
361,None,343,332
364,None,342,334
368,None,337,334
371,None,342,334
375,None,337,334
379,None,342,334
382,None,342,332
386,None,337,332
389,None,342,334
393,None,337,334
396,None,342,334
400,None,342,332
404,None,342,334
407,None,337,334
411,None,337,334
414,None,342,334
418,None,342,332
421,None,342,332
425,None,337,334
429,TA-OS,342,331
432,None,337,332
436,MC-OS,342,332
439,None,342,334
443,None,342,334
446,None,342,335
450,None,337,334
454,None,342,334
457,None,342,334
461,None,342,334
464,None,342,331
468,None,342,326
471,None,342,328
475,None,333,325
479,None,340,325
482,None,330,309
486,None,330,297
489,None,330,281
493,None,318,262
496,None,310,240
500,None,297,217
504,None,283,194
507,None,268,168
511,None,258,156
514,None,236,148
518,None,214,143
521,None,198,133
525,None,184,139
529,None,175,138
532,None,168,138
536,None,162,135
539,None,156,133
543,None,152,132
546,None,148,130
550,None,145,128
554,None,142,128
557,None,143,128
561,None,145,128
564,None,142,127
568,None,141,127
571,None,145,127
575,None,153,127
579,None,158,127
582,None,158,128
586,None,166,128
589,None,176,128
593,None,181,127
596,None,185,127
600,None,189,127
604,None,194,128
607,None,200,131
611,None,208,134
614,None,215,138
618,None,223,143
621,None,233,148
625,None,242,148
629,None,248,153
632,None,252,159
636,None,258,166
639,None,262,173
643,None,255,176
646,None,256,177
650,None,259,176
654,None,261,168
657,None,258,162
661,None,255,153
664,None,249,145
668,None,242,139
671,None,236,133
675,None,229,127
679,None,223,121
682,None,215,116
686,None,206,109
689,None,198,112
693,None,188,110
696,None,178,108
700,None,169,108
704,None,159,107
707,None,147,105
711,None,134,104
714,None,124,103
718,None,112,103
721,None,103,104
725,None,99,105
729,None,98,107
732,None,99,108
736,None,102,110
739,None,101,111
743,None,101,113
746,None,101,115
750,None,102,117
754,None,102,118
757,None,102,120
761,None,103,122
764,None,102,122
768,None,102,122
771,None,102,122
775,None,101,139
779,None,99,139
782,None,98,123
786,None,98,138
789,None,98,138
793,None,98,122
796,None,97,126
800,None,96,128
804,None,96,128
807,None,96,123
811,None,97,124
814,None,100,144
818,None,102,146
821,None,104,148
825,None,107,152
829,None,110,154
832,None,114,158
836,None,119,162
839,None,123,167
843,None,130,172
846,None,136,176
850,None,140,180
854,None,145,183
857,None,149,188
861,None,153,192
864,None,158,198
868,None,161,200
871,None,164,206
875,None,168,212
879,None,174,215
882,None,180,222
886,None,191,224
889,None,198,228
893,None,202,232
896,None,212,242
900,None,215,267
904,None,240,272
907,None,244,283
911,None,251,340
914,None,258,342
918,None,262,346
921,None,266,348
925,None,272,352
929,None,297,355
932,None,330,358
936,None,337,362
939,None,349,366
